EmployeeNumber,Age,Attrition,BusinessTravel,Department,DistanceFromHome,Education,EducationField,EnvironmentSatisfaction,Gender,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,Age Group,Distance Group,Salary_hike_Group
707,40,1,Non,Sales,24,3,Life Sciences,2,Female,4,4,Sales Executive,2,Single,13194,4,1,16,3,4,0,22,2,2,1,0,0,0,Mid Career,Far,medium
708,47,0,Frequent,Research & Development,16,4,Medical,3,Male,4,2,Manufacturing Director,3,Divorced,5067,1,1,19,3,3,0,20,3,4,19,10,2,7,Senior,Far,medium
709,36,0,Non,Sales,8,4,Technical Degree,1,Male,3,2,Sales Executive,4,Divorced,5079,4,0,13,3,4,2,12,3,3,7,7,0,7,Mid Career,Medium,low
710,31,1,Non,Research & Development,9,2,Medical,3,Male,2,1,Research Scientist,1,Single,2321,0,1,22,4,1,0,4,0,3,3,2,1,2,Early Career,Medium,high
711,33,0,Non,Sales,17,3,Life Sciences,4,Male,3,4,Manager,3,Single,17444,1,0,11,3,4,0,10,2,3,10,8,6,0,Early Career,Far,low
712,29,1,rare,Research & Development,10,3,Life Sciences,4,Female,2,1,Research Scientist,1,Single,2404,6,1,20,4,3,0,3,5,3,0,0,0,0,Early Career,Medium,medium
713,33,0,rare,Research & Development,13,1,Life Sciences,2,Female,3,1,Research Scientist,4,Single,3452,3,0,18,3,1,0,5,4,3,3,2,0,2,Early Career,Medium,medium
714,45,0,rare,Research & Development,1,4,Medical,4,Female,3,1,Laboratory Technician,4,Divorced,2270,3,0,14,3,4,2,8,2,3,5,3,0,2,Mid Career,Near,low
715,50,0,rare,Research & Development,1,2,Medical,4,Male,3,4,Research Director,4,Divorced,17399,9,0,22,4,3,1,32,1,2,5,4,1,3,Senior,Near,high
716,33,0,Frequent,Research & Development,1,4,Other,3,Female,4,2,Healthcare Representative,2,Married,5488,1,1,13,3,1,1,6,2,3,6,5,1,2,Early Career,Near,low
717,41,0,Frequent,Research & Development,9,3,Medical,1,Male,3,5,Research Director,3,Divorced,19419,2,0,17,3,2,1,21,2,4,18,16,0,11,Mid Career,Medium,medium
718,27,0,rare,Research & Development,16,4,Technical Degree,3,Female,3,1,Laboratory Technician,2,Married,2811,9,0,14,3,2,1,4,2,3,2,2,2,2,Early Career,Far,low
719,45,0,Non,Research & Development,23,2,Life Sciences,4,Male,3,2,Laboratory Technician,1,Married,3633,1,1,15,3,3,1,9,2,3,9,8,0,8,Mid Career,Far,low
720,47,0,rare,Sales,4,2,Life Sciences,4,Female,3,2,Sales Executive,4,Single,4163,1,1,17,3,3,0,9,0,3,9,0,0,7,Senior,Near,medium
721,30,1,rare,Research & Development,22,3,Life Sciences,1,Female,3,1,Research Scientist,3,Married,2132,4,1,11,3,2,0,7,2,3,5,2,0,1,Early Career,Far,low
722,50,0,rare,Research & Development,24,3,Life Sciences,4,Male,3,4,Manufacturing Director,3,Married,13973,3,1,18,3,4,1,22,2,3,12,11,1,5,Senior,Far,medium
723,38,0,Frequent,Research & Development,10,1,Medical,3,Male,3,1,Research Scientist,3,Married,2684,0,0,17,3,2,1,3,0,2,2,1,0,2,Mid Career,Medium,medium
724,46,0,rare,Research & Development,7,2,Medical,4,Male,3,3,Manufacturing Director,3,Divorced,10845,6,0,13,3,2,1,13,3,3,8,7,0,7,Senior,Medium,low
725,24,0,rare,Research & Development,17,1,Medical,4,Female,2,2,Manufacturing Director,3,Divorced,4377,1,0,15,3,2,2,5,6,3,4,2,3,2,Young,Far,low
726,35,1,rare,Research & Development,14,4,Other,3,Male,2,1,Laboratory Technician,2,Divorced,3743,1,1,24,4,4,1,5,2,1,4,2,0,2,Early Career,Medium,high
727,31,0,Frequent,Research & Development,1,1,Life Sciences,3,Female,3,2,Manufacturing Director,1,Married,4148,1,0,12,3,3,1,4,1,3,4,3,0,3,Early Career,Near,low
728,18,0,Non,Research & Development,5,2,Life Sciences,2,Male,3,1,Research Scientist,4,Single,1051,1,0,15,3,4,0,0,2,3,0,0,0,0,Young,Near,low
729,54,0,rare,Research & Development,17,3,Technical Degree,3,Female,3,3,Manufacturing Director,3,Married,10739,8,0,11,3,3,1,22,2,3,10,7,0,8,Senior,Far,low
730,35,0,rare,Research & Development,25,4,Medical,3,Female,3,3,Healthcare Representative,3,Divorced,10388,1,1,11,3,3,1,16,3,2,16,10,10,1,Early Career,Far,low
731,30,0,rare,Research & Development,8,2,Life Sciences,2,Female,4,3,Research Director,1,Married,11416,0,1,12,3,3,3,9,4,2,8,7,1,7,Early Career,Medium,low
732,20,1,rare,Research & Development,11,3,Medical,4,Female,2,1,Research Scientist,1,Single,2600,1,1,15,3,1,0,1,2,3,1,0,0,0,Young,Medium,low
733,30,1,Frequent,Research & Development,5,3,Medical,2,Female,3,1,Laboratory Technician,2,Single,2422,0,0,17,3,1,0,4,3,3,3,2,1,2,Early Career,Near,medium
734,26,0,rare,Research & Development,2,2,Medical,4,Male,4,2,Manufacturing Director,4,Married,5472,1,0,12,3,2,0,8,2,3,8,7,1,3,Early Career,Near,low
735,22,0,rare,Research & Development,8,1,Life Sciences,2,Male,1,1,Laboratory Technician,1,Married,2451,1,0,15,3,1,1,4,3,2,4,3,1,1,Young,Medium,low
736,48,0,rare,Research & Development,6,3,Life Sciences,1,Male,2,2,Healthcare Representative,3,Single,4240,2,0,13,3,4,0,19,0,3,2,2,2,2,Senior,Medium,low
737,48,0,rare,Research & Development,4,4,Life Sciences,3,Male,2,3,Healthcare Representative,3,Single,10999,7,0,14,3,2,0,27,3,3,15,11,4,8,Senior,Near,low
738,41,0,rare,Research & Development,7,2,Medical,4,Female,3,2,Manufacturing Director,3,Single,5003,6,0,14,3,2,0,8,6,3,2,2,2,1,Mid Career,Medium,low
739,39,0,rare,Research & Development,1,1,Life Sciences,4,Female,2,4,Manufacturing Director,4,Married,12742,1,0,16,3,3,1,21,3,3,21,6,11,8,Mid Career,Near,medium
740,27,0,rare,Research & Development,2,4,Life Sciences,1,Female,3,2,Manufacturing Director,4,Married,4227,0,0,18,3,2,1,4,2,3,3,2,2,2,Early Career,Near,medium
741,35,0,rare,Research & Development,10,3,Other,2,Male,3,1,Laboratory Technician,4,Divorced,3917,1,0,20,4,1,1,3,4,2,3,2,1,2,Early Career,Medium,medium
742,42,0,rare,Sales,5,2,Marketing,4,Male,3,5,Manager,3,Married,18303,6,0,13,3,2,0,21,3,4,1,0,0,0,Mid Career,Near,low
743,50,0,rare,Research & Development,9,3,Life Sciences,1,Male,3,1,Laboratory Technician,4,Married,2380,4,0,18,3,2,0,8,5,3,1,0,0,0,Senior,Medium,medium
744,59,0,rare,Research & Development,2,3,Life Sciences,3,Female,2,4,Manufacturing Director,4,Single,13726,3,1,13,3,1,0,30,4,3,5,3,4,3,Late Career,Near,low
745,37,1,rare,Research & Development,11,2,Medical,1,Female,1,2,Healthcare Representative,2,Married,4777,5,0,15,3,1,0,15,2,1,1,0,0,0,Mid Career,Medium,low
746,55,0,Frequent,Research & Development,18,4,Medical,3,Male,3,2,Healthcare Representative,2,Married,6385,3,1,14,3,4,2,17,3,3,8,7,6,7,Senior,Far,low
747,41,0,Non,Research & Development,7,1,Life Sciences,2,Female,1,5,Research Director,3,Divorced,19973,1,0,22,4,2,2,21,3,3,21,16,5,10,Mid Career,Medium,high
748,38,0,rare,Sales,3,4,Life Sciences,2,Male,3,2,Sales Executive,4,Single,6861,8,1,12,3,3,0,19,1,3,1,0,0,0,Mid Career,Near,low
749,26,1,Non,Sales,29,2,Medical,2,Male,1,2,Sales Executive,1,Single,4969,8,0,18,3,4,0,7,6,3,2,2,2,2,Early Career,Far,medium
750,52,1,rare,Sales,2,1,Marketing,1,Female,1,5,Manager,4,Married,19845,1,0,15,3,4,1,33,3,3,32,14,6,9,Senior,Near,low
751,44,0,rare,Sales,28,3,Medical,4,Female,4,4,Sales Executive,4,Married,13320,3,1,18,3,3,1,23,2,3,12,11,11,11,Mid Career,Far,medium
752,50,0,Non,Sales,1,3,Life Sciences,4,Female,3,2,Sales Executive,3,Married,6347,0,0,12,3,1,1,19,3,3,18,7,0,13,Senior,Near,low
753,36,1,rare,Research & Development,16,4,Life Sciences,3,Female,4,1,Laboratory Technician,1,Single,2743,1,0,16,3,3,0,18,1,3,17,13,15,14,Mid Career,Far,medium
754,39,0,Frequent,Research & Development,22,3,Medical,4,Female,3,3,Manufacturing Director,1,Single,10880,1,1,13,3,3,0,21,2,3,21,6,2,8,Mid Career,Far,low
755,33,0,Non,Sales,8,1,Life Sciences,2,Female,2,1,Sales Representative,4,Single,2342,0,0,19,3,4,0,3,2,2,2,2,2,2,Early Career,Medium,medium
756,45,0,rare,Sales,11,2,Life Sciences,4,Female,3,4,Manager,4,Married,17650,3,0,13,3,2,1,26,4,4,9,3,1,1,Mid Career,Medium,low
757,32,0,Non,Research & Development,29,4,Medical,4,Female,3,1,Laboratory Technician,3,Single,4025,9,0,12,3,2,0,10,2,3,8,7,7,7,Early Career,Far,low
758,34,0,rare,Sales,1,4,Marketing,2,Male,4,2,Sales Executive,4,Divorced,9725,0,0,11,3,4,1,16,2,2,15,1,0,9,Early Career,Near,low
759,59,0,rare,Sales,1,2,Technical Degree,2,Male,3,3,Manager,4,Married,11904,3,1,14,3,3,1,14,1,1,6,4,0,4,Late Career,Near,low
760,45,0,rare,Human Resources,24,4,Medical,2,Male,3,1,Human Resources,2,Single,2177,1,0,16,3,1,0,6,3,3,6,3,0,4,Mid Career,Far,medium
761,53,0,Frequent,Sales,2,3,Marketing,3,Female,2,3,Sales Executive,2,Married,7525,2,0,12,3,1,1,30,2,3,15,7,6,12,Senior,Near,low
762,36,1,rare,Research & Development,15,3,Other,1,Male,3,2,Laboratory Technician,3,Divorced,4834,7,0,14,3,2,1,9,3,2,1,0,0,0,Mid Career,Medium,low
763,26,1,Frequent,Research & Development,2,3,Life Sciences,1,Male,3,1,Research Scientist,1,Married,2042,6,1,14,3,2,1,6,2,3,3,2,1,2,Early Career,Near,low
764,34,0,rare,Sales,10,4,Life Sciences,3,Female,3,1,Sales Representative,3,Married,2220,1,1,19,3,4,1,1,2,3,1,1,0,0,Early Career,Medium,medium
765,28,0,rare,Sales,10,1,Medical,4,Male,3,1,Sales Representative,2,Married,1052,1,0,22,4,2,0,1,5,3,1,0,0,0,Early Career,Medium,high
766,38,0,Frequent,Research & Development,3,4,Other,3,Male,3,1,Research Scientist,3,Married,2821,3,0,16,3,1,1,8,2,3,2,2,2,2,Mid Career,Near,medium
767,50,0,rare,Research & Development,2,4,Medical,2,Male,3,5,Research Director,3,Married,19237,2,1,11,3,4,1,29,2,2,8,1,7,7,Senior,Near,low
768,37,0,rare,Research & Development,3,3,Other,4,Female,3,2,Healthcare Representative,2,Single,4107,3,0,15,3,1,0,8,3,2,4,3,0,1,Mid Career,Near,low
769,40,0,rare,Sales,26,3,Marketing,3,Male,3,2,Sales Executive,1,Married,8396,1,0,14,3,2,1,8,3,2,7,7,7,5,Mid Career,Far,low
770,26,0,Frequent,Research & Development,1,1,Medical,1,Female,2,1,Research Scientist,3,Divorced,2007,1,0,13,3,3,2,5,5,3,5,3,1,3,Early Career,Near,low
771,46,0,rare,Research & Development,1,4,Medical,4,Male,3,5,Research Director,4,Divorced,19627,9,0,17,3,4,2,23,0,3,2,2,2,2,Senior,Near,medium
772,54,0,rare,Sales,2,4,Life Sciences,3,Female,2,3,Sales Executive,3,Married,10686,6,0,11,3,2,1,13,4,3,9,4,7,0,Senior,Near,low
773,56,0,Frequent,Research & Development,9,3,Medical,1,Female,3,1,Research Scientist,3,Married,2942,2,0,19,3,2,1,18,4,3,5,4,0,3,Late Career,Medium,medium
774,36,0,rare,Research & Development,12,5,Medical,4,Female,2,3,Manufacturing Director,4,Single,8858,0,0,11,3,2,0,15,2,2,14,8,7,8,Mid Career,Medium,low
775,55,0,Non,Research & Development,2,1,Medical,3,Male,2,4,Manager,1,Single,16756,7,0,15,3,2,0,31,3,4,9,7,6,2,Senior,Near,low
776,43,0,rare,Sales,25,3,Medical,3,Male,2,3,Sales Executive,4,Divorced,10798,5,0,13,3,3,1,18,5,3,1,0,0,0,Mid Career,Far,low
777,20,1,Frequent,Sales,9,3,Marketing,4,Female,3,1,Sales Representative,4,Single,2323,1,1,14,3,2,0,2,3,3,2,2,0,2,Young,Medium,low
778,21,1,rare,Research & Development,10,3,Life Sciences,3,Female,2,1,Laboratory Technician,1,Single,1416,1,0,13,3,1,0,1,6,2,1,0,1,0,Young,Medium,low
779,46,0,rare,Research & Development,8,4,Life Sciences,4,Female,2,2,Research Scientist,1,Divorced,4615,8,1,23,4,1,3,19,2,3,16,13,1,7,Senior,Medium,high
780,51,1,rare,Research & Development,4,4,Life Sciences,1,Male,3,1,Research Scientist,3,Married,2461,9,1,12,3,3,3,18,2,4,10,0,2,7,Senior,Near,low
781,28,1,Non,Research & Development,24,2,Technical Degree,2,Male,2,3,Healthcare Representative,1,Single,8722,1,0,12,3,1,0,10,2,2,10,7,1,9,Early Career,Far,low
782,26,0,rare,Research & Development,1,2,Medical,1,Male,2,1,Laboratory Technician,1,Married,3955,1,0,16,3,1,2,6,2,3,5,3,1,3,Early Career,Near,medium
783,30,0,rare,Research & Development,20,3,Other,3,Male,3,2,Manufacturing Director,1,Married,9957,0,0,15,3,3,1,7,1,2,6,2,0,2,Early Career,Far,low
784,41,0,rare,Research & Development,7,2,Technical Degree,2,Female,4,1,Research Scientist,3,Married,3376,1,0,13,3,3,0,10,3,3,10,6,0,8,Mid Career,Medium,low
785,38,0,rare,Research & Development,17,1,Life Sciences,3,Female,2,3,Healthcare Representative,3,Married,8823,0,0,18,3,1,1,20,4,2,19,9,1,9,Mid Career,Far,medium
786,40,0,rare,Research & Development,20,4,Technical Degree,1,Male,3,3,Healthcare Representative,4,Married,10322,4,0,20,4,4,1,14,6,3,11,10,11,1,Mid Career,Far,medium
787,27,0,Non,Research & Development,8,5,Life Sciences,1,Male,1,1,Laboratory Technician,3,Married,4621,1,0,19,3,4,3,3,4,3,3,2,1,2,Early Career,Medium,medium
788,55,0,Frequent,Research & Development,2,1,Life Sciences,4,Male,3,3,Manufacturing Director,2,Married,10976,3,0,18,3,2,1,23,4,3,3,2,1,2,Senior,Near,medium
789,28,0,rare,Research & Development,10,3,Other,3,Female,3,2,Research Scientist,3,Single,3660,3,0,13,3,4,0,10,4,4,8,7,1,7,Early Career,Medium,low
790,44,1,rare,Human Resources,1,2,Medical,2,Male,2,3,Human Resources,1,Married,10482,9,0,14,3,4,1,24,1,3,20,6,3,6,Mid Career,Near,low
791,33,0,rare,Research & Development,5,3,Life Sciences,4,Male,2,3,Healthcare Representative,4,Divorced,7119,4,0,15,3,3,1,9,2,3,3,2,1,2,Early Career,Near,low
792,35,1,rare,Sales,4,3,Technical Degree,4,Male,3,3,Sales Executive,1,Single,9582,0,1,22,4,1,0,9,2,3,8,7,4,7,Early Career,Near,high
793,33,1,Frequent,Research & Development,29,4,Medical,1,Female,2,2,Research Scientist,3,Single,4508,1,0,22,4,2,0,14,4,3,13,7,3,8,Early Career,Far,high
794,28,0,rare,Research & Development,15,2,Life Sciences,1,Male,3,1,Laboratory Technician,3,Divorced,2207,1,0,16,3,4,1,4,5,2,4,2,2,2,Early Career,Medium,medium
795,34,0,Frequent,Research & Development,3,1,Life Sciences,1,Male,3,2,Healthcare Representative,4,Single,7756,0,0,17,3,3,0,7,1,2,6,2,0,4,Early Career,Near,medium
796,37,0,rare,Sales,10,4,Life Sciences,4,Female,2,2,Sales Executive,4,Divorced,6694,2,1,14,3,3,3,8,5,3,1,0,0,0,Mid Career,Medium,low
797,25,1,rare,Research & Development,4,1,Technical Degree,4,Male,3,1,Laboratory Technician,4,Married,3691,1,1,15,3,2,1,7,3,4,7,7,5,6,Young,Near,low
798,26,1,rare,Research & Development,21,3,Medical,1,Male,3,1,Laboratory Technician,3,Divorced,2377,1,0,20,4,3,1,1,0,2,1,1,0,0,Early Career,Far,medium
799,33,1,rare,Research & Development,25,3,Medical,1,Male,2,1,Research Scientist,2,Single,2313,4,1,20,4,2,0,5,0,3,2,2,2,2,Early Career,Far,medium
800,42,0,rare,Research & Development,2,2,Medical,4,Male,3,4,Manager,1,Married,17665,0,0,17,3,4,1,23,3,3,22,6,13,7,Mid Career,Near,medium
801,28,1,Frequent,Research & Development,1,3,Medical,1,Male,2,1,Laboratory Technician,2,Divorced,2596,1,0,15,3,1,2,1,2,3,1,0,0,0,Early Career,Near,low
802,50,1,Frequent,Sales,1,4,Other,4,Male,3,2,Sales Executive,3,Single,4728,3,1,14,3,4,0,5,4,3,0,0,0,0,Senior,Near,low
803,33,0,Frequent,Sales,7,3,Life Sciences,4,Female,3,2,Sales Executive,2,Married,4302,0,0,17,3,3,1,4,3,3,3,2,0,2,Early Career,Medium,medium
804,34,0,Non,Research & Development,3,4,Life Sciences,3,Male,2,1,Research Scientist,4,Married,2979,3,0,17,3,4,3,6,2,3,0,0,0,0,Early Career,Near,medium
805,48,0,Non,Research & Development,1,4,Medical,1,Male,4,4,Manager,4,Single,16885,2,0,22,4,3,0,27,3,2,5,4,2,1,Senior,Near,high
806,45,0,Non,Sales,9,4,Life Sciences,2,Female,2,2,Sales Executive,3,Married,5593,1,0,13,3,4,1,15,2,3,15,10,4,12,Mid Career,Medium,low
807,52,0,rare,Research & Development,7,4,Life Sciences,2,Male,3,3,Healthcare Representative,2,Single,10445,7,0,19,3,4,0,18,4,3,8,6,4,0,Senior,Medium,medium
808,38,0,rare,Sales,10,4,Marketing,3,Male,2,3,Sales Executive,3,Divorced,8740,0,1,14,3,2,2,9,2,3,8,7,2,7,Mid Career,Medium,low
809,29,0,rare,Research & Development,28,4,Life Sciences,3,Female,3,1,Research Scientist,4,Divorced,2514,4,0,22,4,1,1,11,1,3,7,5,1,7,Early Career,Far,high
810,28,0,rare,Research & Development,3,3,Medical,4,Female,3,3,Manufacturing Director,2,Divorced,7655,0,0,17,3,2,3,10,3,2,9,7,1,7,Early Career,Near,medium
811,46,0,rare,Sales,3,1,Marketing,1,Male,3,4,Manager,3,Married,17465,3,0,12,3,4,1,23,3,3,12,9,4,9,Senior,Near,low
812,38,0,rare,Sales,2,2,Marketing,4,Male,3,3,Sales Executive,2,Single,7351,7,0,16,3,3,0,10,2,3,1,0,0,0,Mid Career,Near,medium
813,43,0,Frequent,Research & Development,27,3,Life Sciences,3,Female,3,3,Manufacturing Director,1,Married,10820,8,0,11,3,3,1,18,1,3,8,7,0,1,Mid Career,Far,low
814,39,1,Frequent,Research & Development,2,3,Life Sciences,1,Male,3,4,Healthcare Representative,4,Divorced,12169,7,0,11,3,4,3,21,4,3,18,7,11,5,Mid Career,Near,low
815,40,0,rare,Research & Development,14,3,Medical,3,Male,2,5,Research Director,3,Single,19626,1,0,14,3,1,0,21,2,4,20,7,4,9,Mid Career,Medium,low
816,21,0,rare,Research & Development,1,1,Technical Degree,4,Female,2,1,Research Scientist,2,Single,2070,1,1,11,3,3,0,2,6,4,2,2,2,2,Young,Near,low
817,39,0,Non,Research & Development,9,3,Life Sciences,3,Male,3,2,Laboratory Technician,2,Single,6782,9,0,15,3,3,0,9,2,2,5,4,0,3,Mid Career,Medium,low
818,36,0,Non,Research & Development,18,4,Life Sciences,1,Male,3,2,Manufacturing Director,4,Single,7779,2,0,20,4,1,0,18,0,3,11,9,0,9,Mid Career,Far,medium
819,31,0,Frequent,Sales,20,3,Life Sciences,3,Male,4,1,Sales Representative,4,Married,2791,0,0,12,3,1,1,3,4,3,2,2,2,2,Early Career,Far,low
820,28,0,rare,Research & Development,2,1,Life Sciences,1,Male,2,1,Research Scientist,2,Married,3201,0,0,17,3,1,0,6,2,1,5,3,0,4,Early Career,Near,medium
821,35,0,Frequent,Sales,11,2,Marketing,4,Male,3,2,Sales Executive,4,Divorced,4968,1,0,11,3,4,1,5,3,3,5,2,0,2,Early Career,Medium,low
822,49,0,rare,Sales,8,4,Technical Degree,4,Male,2,4,Sales Executive,2,Married,13120,6,0,17,3,2,1,22,3,3,9,8,2,3,Senior,Medium,medium
823,34,0,Frequent,Research & Development,2,2,Life Sciences,4,Male,3,2,Manufacturing Director,3,Single,4033,2,0,11,3,4,0,5,3,2,3,2,0,2,Early Career,Near,low
824,29,0,Frequent,Research & Development,10,3,Life Sciences,4,Female,3,1,Research Scientist,2,Divorced,3291,0,0,14,3,4,2,8,2,2,7,5,1,1,Early Career,Medium,low
825,42,0,rare,Research & Development,29,3,Medical,2,Male,1,2,Laboratory Technician,4,Single,4272,4,0,19,3,1,0,16,3,3,1,0,0,0,Mid Career,Far,medium
826,29,0,rare,Research & Development,8,1,Medical,2,Male,2,2,Manufacturing Director,4,Married,5056,1,1,15,3,3,1,10,2,2,10,7,1,2,Early Career,Medium,low
827,38,0,rare,Human Resources,1,3,Human Resources,3,Male,4,1,Human Resources,3,Married,2844,1,0,13,3,4,1,7,2,4,7,6,5,0,Mid Career,Near,low
828,28,0,Frequent,Research & Development,6,3,Life Sciences,3,Male,2,1,Research Scientist,3,Divorced,2703,1,1,14,3,4,1,3,2,3,3,1,0,2,Early Career,Medium,low
829,18,1,Non,Research & Development,8,1,Medical,3,Male,3,1,Laboratory Technician,3,Single,1904,1,0,12,3,4,0,0,0,3,0,0,0,0,Young,Medium,low
830,33,1,rare,Sales,9,4,Marketing,1,Female,3,2,Sales Executive,1,Single,8224,0,1,17,3,1,0,6,3,3,5,2,0,3,Early Career,Medium,medium
831,41,0,rare,Research & Development,12,4,Life Sciences,2,Male,3,1,Laboratory Technician,4,Married,4766,3,1,11,3,1,1,6,4,3,1,0,0,0,Mid Career,Medium,low
832,31,1,Frequent,Research & Development,15,3,Medical,3,Male,3,1,Laboratory Technician,3,Married,2610,1,0,12,3,3,1,2,5,2,2,2,2,2,Early Career,Medium,low
833,37,0,rare,Research & Development,25,2,Medical,3,Female,2,2,Healthcare Representative,4,Divorced,5731,7,0,13,3,3,2,9,2,3,6,2,1,3,Mid Career,Far,low
834,27,0,rare,Research & Development,6,3,Life Sciences,4,Male,2,1,Research Scientist,3,Married,2539,1,0,13,3,3,1,4,0,3,4,2,2,2,Early Career,Medium,low
835,34,0,rare,Sales,9,1,Life Sciences,2,Female,3,2,Sales Executive,3,Married,5714,1,0,20,4,1,0,6,3,2,6,5,1,3,Early Career,Medium,medium
836,35,0,rare,Human Resources,8,4,Technical Degree,3,Male,3,1,Human Resources,3,Single,4323,1,0,17,3,2,0,6,2,1,5,4,1,4,Early Career,Medium,medium
837,29,1,rare,Sales,23,1,Life Sciences,4,Female,2,3,Sales Executive,1,Married,7336,1,0,13,3,1,1,11,3,1,11,8,3,10,Early Career,Far,low
838,40,0,Frequent,Research & Development,9,4,Medical,2,Female,3,3,Research Director,3,Single,13499,9,0,17,3,3,0,20,3,2,18,7,2,13,Mid Career,Medium,medium
839,42,1,Frequent,Sales,12,3,Life Sciences,3,Male,3,4,Sales Executive,1,Single,13758,0,1,12,3,2,0,22,2,2,21,9,13,14,Mid Career,Medium,low
840,42,0,rare,Sales,4,4,Marketing,2,Male,3,2,Sales Executive,1,Single,5155,7,0,13,3,4,0,9,3,4,6,4,1,5,Mid Career,Near,low
841,35,0,rare,Research & Development,1,4,Medical,4,Male,2,1,Laboratory Technician,3,Married,2258,6,0,12,3,2,1,10,2,3,8,0,1,7,Early Career,Near,low
842,24,0,rare,Research & Development,24,3,Medical,4,Male,3,1,Laboratory Technician,2,Single,3597,8,0,22,4,4,0,6,2,3,4,3,1,2,Young,Far,high
843,28,1,rare,Research & Development,12,1,Life Sciences,3,Female,3,1,Laboratory Technician,4,Married,2515,1,1,11,3,4,0,1,4,2,1,1,0,0,Early Career,Medium,low
844,26,0,rare,Research & Development,3,4,Medical,1,Male,4,1,Laboratory Technician,4,Married,4420,1,0,22,4,2,1,8,2,3,8,7,0,7,Early Career,Near,high
845,30,0,rare,Sales,10,3,Marketing,3,Male,2,2,Sales Executive,3,Married,6578,1,0,18,3,1,1,10,3,3,10,3,1,4,Early Career,Medium,medium
846,40,0,Frequent,Research & Development,26,2,Medical,3,Female,2,2,Research Scientist,4,Married,4422,3,1,13,3,4,1,16,3,1,1,1,0,0,Mid Career,Far,low
847,35,0,rare,Research & Development,2,3,Life Sciences,3,Male,2,3,Manufacturing Director,2,Divorced,10274,2,0,18,3,2,1,15,2,4,7,7,6,4,Early Career,Near,medium
848,34,0,Frequent,Research & Development,1,3,Medical,4,Male,2,2,Healthcare Representative,1,Single,5343,0,0,20,4,3,0,14,3,3,13,9,4,9,Early Career,Near,medium
849,35,0,Frequent,Research & Development,4,4,Other,4,Male,2,1,Laboratory Technician,4,Married,2376,1,0,13,3,2,1,2,2,4,2,2,2,2,Early Career,Near,low
850,43,1,rare,Sales,9,3,Marketing,1,Female,1,2,Sales Executive,3,Single,5346,8,0,13,3,2,0,7,2,2,4,3,1,3,Mid Career,Medium,low
851,32,0,Non,Sales,2,1,Life Sciences,3,Female,3,1,Sales Representative,1,Divorced,2827,1,0,12,3,3,3,1,3,3,1,0,0,0,Early Career,Near,low
852,56,0,rare,Research & Development,4,4,Technical Degree,4,Female,3,5,Manager,1,Divorced,19943,4,0,13,3,4,1,28,2,3,5,2,4,2,Late Career,Near,low
853,29,0,rare,Research & Development,6,1,Medical,2,Female,3,1,Laboratory Technician,4,Married,3131,1,0,13,3,1,1,10,5,3,10,8,0,8,Early Career,Medium,low
854,19,0,rare,Research & Development,9,2,Life Sciences,3,Male,3,1,Research Scientist,1,Single,2552,1,0,25,4,3,0,1,4,3,1,1,0,0,Young,Medium,high
855,45,0,rare,Research & Development,7,3,Medical,1,Female,3,1,Research Scientist,3,Married,4477,4,1,19,3,3,1,7,2,2,3,2,0,2,Mid Career,Medium,medium
856,37,0,rare,Research & Development,1,3,Life Sciences,4,Female,2,2,Manufacturing Director,4,Married,6474,1,0,13,3,2,1,14,2,2,14,8,3,11,Mid Career,Near,low
857,20,0,rare,Research & Development,3,3,Life Sciences,1,Male,2,1,Laboratory Technician,3,Single,3033,1,0,12,3,1,0,2,2,2,2,2,1,2,Young,Near,low
858,44,1,rare,Research & Development,10,4,Life Sciences,3,Male,3,1,Research Scientist,3,Single,2936,1,1,11,3,3,0,6,4,3,6,4,0,2,Mid Career,Medium,low
859,53,0,rare,Research & Development,7,2,Medical,4,Female,3,5,Manager,3,Divorced,18606,3,0,18,3,2,1,26,6,3,7,7,4,7,Senior,Medium,medium
860,29,0,rare,Research & Development,15,1,Life Sciences,2,Female,1,1,Research Scientist,4,Married,2168,0,1,18,3,1,1,6,2,2,5,4,1,3,Early Career,Medium,medium
861,22,1,Frequent,Research & Development,3,4,Life Sciences,3,Male,2,1,Research Scientist,4,Married,2853,0,1,11,3,2,1,1,5,3,0,0,0,0,Young,Near,low
862,46,0,rare,Sales,2,3,Marketing,3,Female,3,4,Manager,1,Married,17048,8,0,23,4,1,0,28,2,3,26,15,15,9,Senior,Near,high
863,44,0,Non,Research & Development,17,3,Life Sciences,4,Male,1,1,Research Scientist,3,Single,2290,2,0,13,3,4,0,6,3,3,0,0,0,0,Mid Career,Far,low
864,33,0,rare,Human Resources,2,3,Human Resources,2,Male,3,1,Human Resources,3,Married,3600,1,0,13,3,4,1,5,2,3,5,4,1,4,Early Career,Near,low
865,41,1,Non,Research & Development,5,2,Life Sciences,1,Male,2,1,Research Scientist,1,Divorced,2107,6,0,17,3,1,1,5,2,1,1,0,0,0,Mid Career,Near,medium
